-74.2445,31.2139,19.8846
-71.1952,5.59691,24.4101
-67.7173,-17.2208,30.1438
-64.1891,-32.1182,38.5357
-55.6103,-50.8745,49.6662
-44.1872,-63.3259,62.8535
-28.6013,-71.2227,82.4045
-16.6544,-74.7199,95.5304
-0.0216483,-76.203,99.7475
17.0448,-73.9081,96.258
29.0464,-71.959,81.3611
44.4214,-63.1988,64.01
57.0264,-49.5513,48.4741
64.2818,-33.8111,39.2795
67.7921,-17.66,31.3844
71.4622,4.79811,24.2554
74.3175,30.2062,19.8215
-57.6311,45.3279,80.2845
-49.6693,51.7983,92.0108
-38.9152,54.5801,100.281
-23.6796,55.398,107.081
-9.50387,50.7115,108.67
9.03659,50.6912,109.011
23.3576,55.6212,107.099
38.503,54.7901,100.229
49.928,50.8426,92.0895
56.7975,46.2884,81.735
-0.129716,36.9758,108.467
-0.071404,24.9905,116.029
-0.007632,13.5452,123.232
0.378195,0.881841,130.424
-14.6533,-9.33971,106.043
-7.08849,-10.7074,110.398
0.156912,-12.3614,113.927
7.14729,-11.3884,110.638
14.3015,-9.72151,106.321
-44.8952,32.6333,86.668
-37.4584,36.7118,93.3052
-27.1253,37.5044,95.0504
-18.6159,33.0135,92.1893
-28.9964,29.5498,93.979
-38.2173,29.1363,92.0789
18.366,33.4835,92.1691
28.0019,37.4134,94.6796
37.4308,36.2074,92.8039
45.4206,32.7544,85.8804
38.4287,29.5396,91.6214
29.563,29.5667,94.0742
-28.5846,-33.281,90.8554
-20.1091,-27.4342,103.299
-8.52652,-24.4551,110.633
0.282712,-25.7178,111.525
8.7807,-24.5611,110.782
20.1248,-26.6193,103.391
28.5641,-32.9308,90.4027
19.4931,-40.0592,98.8629
10.2851,-43.6337,105.054
0.280223,-44.8439,107.248
-9.80627,-43.863,105.602
-19.1593,-40.4603,99.7303
-26.0108,-33.5399,91.9304
-8.88414,-30.2308,106.667
0.765883,-30.5737,107.464
10.1842,-29.8653,106.832
26.0026,-32.7707,91.8519
10.0627,-36.6437,104.124
0.546194,-37.23,106.02
-9.15694,-37.0848,104.388